Title,Description,Priority,Estimate,Labels,Team
"INFRA-32: Linear: Run full workspace setup (12 teams, 34 labels, custom fields)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-29, INFRA-30, INFRA-31]
**Effort:** 15m",High,15,,Platform
"INFRA-33: Linear: Auto-Triage Bugs automation (CS + bug + >10 users → High + cycle + notify)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",High,30,,Platform
"INFRA-34: Linear: Auto-Route Feature Requests (CS + feature-request → parse keywords → assign team)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 1h",High,1,,Platform
"INFRA-36: Linear: Customer Impact Escalation (affects-1000+ → Critical + cycle + notify exec)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",High,30,,Platform
"INFRA-37: Linear: Incident Response automation (production-down → P0 + timeline + notify all)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",Urgent,30,,Platform
"INFRA-41: Linear: GitHub Actions → Linear webhook (deploy → Infrastructure issue + update Product tasks)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 2h",High,2,,Platform
"INFRA-43: Linear: Support widget → Linear API (in-app feedback → CS issue with user context)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 3h",High,3,,Platform
"INFRA-45: Linear: Sentry → Linear integration (error >10 occurrences → Infrastructure issue)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 1h",High,1,,Platform
"INFRA-46: Linear: Fix task import domain mapping (UX tasks → parse description keywords for correct team)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 1h",High,1,,Platform
"INFRA-47: Linear: Add metadata preservation to import (priority, effort, status, deps, source)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-46]
**Effort:** 2h",High,2,,Platform
"INFRA-48: Linear: Run task import (migrate 256 product tasks from TASKS.md to Linear)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-47]
**Effort:** 30m",Urgent,30,,Platform
"INFRA-53: Linear: API usage monitoring (daily cron, alert at 75% threshold)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-41]
**Effort:** 2h",High,2,,Platform
"OPS-4: Linear: Executive Dashboard view (all teams, health metrics, primary visibility tool)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Urgent,15,,Business Ops
"OPS-5: Linear: Customer Health Dashboard (CS team, 7d, response time metrics)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-31]
**Effort:** 15m",High,15,,Business Ops
"OPS-6: Linear: Product Velocity Dashboard (product teams, cycle, velocity + burndown)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",High,15,,Business Ops
"OPS-7: Linear: Incident Response Dashboard (Infrastructure, active incidents, priority sort)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",High,15,,Business Ops
"INFRA-4: Disaster recovery procedure + documentation","**Status:** 🔒
**Source:** roadmap
**Dependencies:** [needs: INFRA-3]
**Effort:** 2h",Normal,2,,Platform
"INFRA-6: Deployment documentation","**Status:** 🔒
**Source:** roadmap
**Dependencies:** [needs: INFRA-2]
**Effort:** 1h",Normal,1,,Platform
"OPS-1: Linear: Configure workflow states (Ready, Blocked, Review, Deferred) for all 12 teams","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",Normal,30,,Business Ops
"OPS-2: Linear: Set team-specific settings (cycles, estimation, triage, auto-archive) for consistency","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",Normal,30,,Business Ops
"INFRA-35: Linear: Sprint Auto-Assignment (priority→Critical → add to current cycle)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Normal,15,,Platform
"INFRA-38: Linear: Feature Shipped Notification (Done + deployed → CS + Content task)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 45m",Normal,45,,Platform
"INFRA-39: Linear: Cross-Team Handoff automation (needs-content → create Content issue)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",Normal,30,,Platform
"INFRA-40: Linear: Duplicate Detection script (hourly cron, check similar CS issues, auto-link)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 2h",Normal,2,,Platform
"INFRA-42: Linear: GitHub commit auto-linking verification (ensure working)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Normal,15,,Platform
"INFRA-44: Linear: Intercom → Linear webhook (conversation tagged → CS issue)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 2h",Normal,2,,Platform
"OPS-8: Linear: Sprint Board view (current cycle, board, group by priority)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Normal,15,,Business Ops
"OPS-9: Linear: Roadmap Timeline view (projects, roadmap, 8 weeks)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Normal,15,,Business Ops
"OPS-10: Linear: Blocked Tasks view (all blocked, group by team)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: OPS-1]
**Effort:** 15m",Normal,15,,Business Ops
"OPS-11: Linear: High Priority Inbox (Critical/High, oldest first, triage view)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 15m",Normal,15,,Business Ops
"OPS-12: Linear: Verify import accuracy (spot-check 20 tasks match TASKS.md)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-48]
**Effort:** 30m",Normal,30,,Business Ops
"INFRA-49: Linear: Create sync state file (TASKS.md ↔ Linear ID mapping for bidirectional sync)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-48]
**Effort:** 15m",Normal,15,,Platform
"OPS-13: Linear: Team workflow docs (12 teams: triage, handoffs, lifecycle)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: all linear sprints 1-5]
**Effort:** 2h",Normal,2,,Business Ops
"INFRA-50: Linear: Automation runbook (10 automations: triggers, actions, troubleshooting)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-33 to INFRA-40]
**Effort:** 2h",Normal,2,,Platform
"INFRA-51: Linear: Integration guide (5 integrations: setup, webhooks, testing)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-41 to INFRA-45]
**Effort:** 2h",Normal,2,,Platform
"OPS-14: Linear: Dashboard usage guide (8 views: purpose, metrics, when to use)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: OPS-4 to OPS-11]
**Effort:** 1h",Normal,1,,Business Ops
"INFRA-52: Linear: Best practices (titling, labeling, lifecycle, handoffs)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: all linear sprints]
**Effort:** 1h",Normal,1,,Platform
"INFRA-54: Linear: Automation health dashboard (track trigger count, success rate, errors)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-33 to INFRA-40]
**Effort:** 2h",Normal,2,,Platform
"INFRA-55: Linear: Tune automation thresholds (adjust based on 1 week usage, <5% false positives)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-33 to INFRA-40, 1 week usage]
**Effort:** 1h",Normal,1,,Platform
"INFRA-56: Linear: Optimize view performance (date filters, limit results, <2s load)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: OPS-4 to OPS-11, 1 week usage]
**Effort:** 1h",Normal,1,,Platform
"INFRA-57: Linear: Weekly report automation (Friday cron, exec summary email)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: OPS-4]
**Effort:** 2h",Normal,2,,Platform
"OPS-3: Linear: Stale Issue Cleanup (>90d + no activity → comment → close if no response)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-32]
**Effort:** 30m",Low,30,,Business Ops
"OPS-15: Linear: Update CLAUDE.md context (Linear as PM tool, workflow references)","**Status:** 🟢
**Source:** plan:linear-scale-architecture
**Dependencies:** [needs: INFRA-52]
**Effort:** 30m",Low,30,,Business Ops
